sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2021.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2022-03-25_11:15:53_745 EDT
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
65,3829526955,0.999769,-0.003839,0.021112,-0.000816,-0.036504,0.001665,0.151170,0
66,3829543622,0.999718,-0.003247,0.023489,-0.001157,-0.041900,0.003023,0.153754,0
67,3829560289,0.999695,-0.002573,0.024554,-0.000979,-0.054502,0.001285,0.152044,0
68,3829576956,0.999704,-0.002364,0.024209,-0.000735,-0.063115,0.001572,0.154715,0
69,3829593623,0.999811,-0.002965,0.019206,-0.000208,-0.071742,-0.000514,0.154521,0
70,3829610290,0.999920,-0.003574,0.012099,0.000429,-0.075968,-0.003811,0.143469,0
71,3829626957,0.999949,-0.003064,0.009622,0.000789,-0.078728,-0.006745,0.127730,0
72,3829643624,0.999897,-0.000330,0.014375,0.000470,-0.078316,-0.007187,0.121525,0
73,3829660291,0.999805,0.003168,0.019472,-0.000112,-0.082106,-0.000519,0.134234,0
74,3829676958,0.999854,0.003361,0.016740,-0.000131,-0.087834,0.003325,0.143808,0
75,3829693625,0.999881,0.000376,0.015413,0.000078,-0.090983,0.001744,0.133372,0
76,3829710292,0.999793,-0.002698,0.020164,0.000878,-0.089699,0.001750,0.116236,0
77,3829726959,0.999704,-0.004401,0.023820,0.002120,-0.096311,-0.000494,0.114956,0
78,3829743626,0.999800,-0.003884,0.019312,0.003389,-0.110606,-0.003997,0.115057,0
79,3829760293,0.999881,-0.001381,0.015044,0.003121,-0.127176,-0.004630,0.103099,0
80,3829776960,0.999845,0.001801,0.017527,0.000647,-0.141329,-0.006268,0.098289,0
81,3829793627,0.999739,0.004629,0.022123,-0.003401,-0.148991,0.001613,0.107966,0
82,3829810294,0.999858,0.003170,0.015697,-0.005198,-0.141671,0.006502,0.118958,0
83,3829826961,0.999983,-0.001488,0.004188,-0.003705,-0.122444,-0.001372,0.109618,0
84,3829843628,0.999993,-0.003802,0.000023,-0.000213,-0.116869,-0.002033,0.088587,0
85,3829860295,0.999995,-0.002159,0.000389,0.002210,-0.129241,-0.003305,0.083170,0
86,3829876962,0.999997,0.001568,-0.001191,0.001306,-0.141721,-0.007359,0.090128,0
87,3829893629,0.999984,0.003632,-0.004138,-0.000884,-0.139741,-0.000986,0.098539,0
88,3829910296,0.999961,0.003049,-0.008280,-0.000220,-0.133001,0.007164,0.107556,0
89,3829926963,0.999912,0.001403,-0.013157,0.001310,-0.134211,0.005738,0.111399,0
90,3829943630,0.999835,-0.000160,-0.018077,0.001748,-0.135824,0.001459,0.107259,0
91,3829960297,0.999809,-0.000454,-0.019494,0.001440,-0.134202,-0.002410,0.101274,0
92,3829976964,0.999823,0.001358,-0.018717,0.001494,-0.128126,0.001029,0.106530,0
93,3829993631,0.999794,0.003330,-0.019944,0.001562,-0.116339,0.000083,0.118730,0
94,3830010298,0.999703,0.003531,-0.023900,0.003124,-0.103668,0.006558,0.129514,0
95,3830026965,0.999608,0.001973,-0.027274,0.005979,-0.099131,0.009604,0.129962,0
96,3830043632,0.999620,-0.000583,-0.026535,0.007426,-0.106700,0.009908,0.131615,0
97,3830060299,0.999609,-0.003062,-0.027047,0.006371,-0.110458,0.006911,0.138927,0
98,3830076966,0.999534,-0.004233,-0.029899,0.004406,-0.099835,0.004292,0.144351,0
99,3830093633,0.999461,-0.005595,-0.032165,0.003313,-0.083577,0.001646,0.141146,0
100,3830110300,0.999383,-0.006607,-0.034218,0.004319,-0.063186,0.001345,0.137572,0
101,3830126967,0.999400,-0.006284,-0.033572,0.005743,-0.050518,-0.002844,0.132724,0
102,3830143634,0.999430,-0.004575,-0.032948,0.005679,-0.046639,-0.004668,0.133175,0
103,3830160301,0.999483,-0.001181,-0.031929,0.003674,-0.037119,-0.005099,0.141622,0
104,3830176968,0.999472,0.002262,-0.032278,0.002997,-0.027983,0.000641,0.160754,0
105,3830193635,0.999362,0.003547,-0.035395,0.003208,-0.014496,0.001447,0.175398,0
106,3830210302,0.999193,0.002650,-0.039953,0.003295,-0.007047,0.005595,0.175949,0
107,3830226969,0.999086,0.001790,-0.042649,0.001999,-0.001593,0.003543,0.168345,0
108,3830243636,0.998966,0.002273,-0.045407,-0.000011,0.015143,-0.001367,0.163138,0
109,3830260303,0.998993,0.003100,-0.044664,-0.002875,0.064016,0.015198,0.158790,0
110,3830276970,0.999259,0.002746,-0.038394,0.000359,0.083751,0.024613,0.160373,0
111,3830293637,0.999393,-0.000458,-0.034767,0.002040,0.075925,0.017761,0.160466,0
112,3830310304,0.999432,-0.002796,-0.033547,0.001647,0.069473,0.007230,0.140898,0
113,3830326971,0.999550,-0.002141,-0.029886,-0.001022,0.076020,0.001786,0.123921,0
114,3830343638,0.999680,-0.000914,-0.025141,-0.002451,0.094014,0.008125,0.117715,0
115,3830360305,0.999718,-0.000361,-0.023714,-0.000915,0.098424,0.007785,0.124775,0
116,3830376972,0.999754,-0.001200,-0.022103,-0.001074,0.116475,0.011935,0.119731,0
117,3830393639,0.999839,-0.002481,-0.017751,0.001097,0.116616,0.012768,0.117923,0
118,3830410306,0.999828,-0.004228,-0.017995,0.001325,0.103106,0.002660,0.115848,0
119,3830426973,0.999844,-0.005089,-0.016921,-0.000286,0.117662,-0.001834,0.091338,0
120,3830443640,0.999942,-0.004840,-0.009502,-0.001290,0.128851,-0.003432,0.076006,0
121,3830460307,0.999973,-0.003314,-0.006395,-0.001697,0.127996,-0.004368,0.083758,0
122,3830476974,0.999969,-0.001129,-0.007737,-0.000591,0.136205,-0.001495,0.087092,0
123,3830493641,0.999971,0.000701,-0.007631,-0.000091,0.139199,-0.001895,0.089743,0
124,3830510308,0.999974,0.000964,-0.007117,-0.000364,0.144384,-0.001114,0.097661,0
125,3830526975,0.999994,-0.001433,-0.002985,-0.000744,0.154512,0.000252,0.090905,0
126,3830543642,0.999987,-0.004247,0.002909,-0.000492,0.143760,-0.004774,0.082416,0
127,3830560309,0.999984,-0.003658,0.004210,-0.000492,0.128862,-0.008112,0.076423,0
128,3830576976,0.999976,-0.001130,0.006519,-0.002036,0.141192,-0.002208,0.076284,0
129,3830593643,0.999946,-0.002135,0.009999,-0.002046,0.151572,0.010822,0.098491,0
130,3830610310,0.999962,-0.005126,0.007010,0.000190,0.137289,0.007928,0.098508,0
131,3830626977,0.999954,-0.004638,0.008407,0.000268,0.133817,-0.002478,0.080496,0
132,3830643644,0.999892,-0.003705,0.014183,-0.001356,0.134805,-0.005885,0.082197,0
133,3830660311,0.999795,-0.003996,0.019717,-0.002246,0.133505,0.000544,0.091472,0
134,3830676978,0.999662,-0.005586,0.025328,-0.002006,0.129974,0.004347,0.097176,0
135,3830693645,0.999537,-0.007942,0.029374,-0.000862,0.115883,0.001943,0.105100,0
136,3830710312,0.999522,-0.008682,0.029677,-0.000600,0.104769,-0.003060,0.111638,0
137,3830726979,0.999656,-0.006659,0.025362,-0.000575,0.098635,-0.009578,0.124775,0
138,3830743646,0.999778,-0.002537,0.020905,-0.000016,0.110808,-0.005054,0.124227,0
139,3830760313,0.999705,-0.000553,0.024266,0.000435,0.111545,-0.000418,0.130771,0
140,3830776980,0.999452,-0.004132,0.032819,0.001164,0.090073,0.001755,0.136817,0
141,3830793647,0.999294,-0.009417,0.036238,0.003045,0.047297,-0.005226,0.151703,0
142,3830810314,0.999513,-0.011356,0.028959,0.002341,0.027761,-0.022942,0.158555,0
143,3830826981,0.999813,-0.007835,0.017640,-0.001043,0.030273,-0.030414,0.154460,0
144,3830843648,0.999907,-0.002125,0.013138,-0.003118,0.055434,-0.027582,0.144160,0
145,3830860315,0.999918,0.000274,0.012616,-0.002260,0.049567,-0.016420,0.148339,0
146,3830876982,0.999962,-0.001763,0.008418,0.001286,0.021429,-0.017034,0.150241,0
147,3830893649,0.999990,-0.001801,0.003206,0.002432,0.002256,-0.030288,0.142183,0
148,3830910316,0.999987,0.002355,0.004556,-0.000189,0.012284,-0.032997,0.133563,0
149,3830926983,0.999878,0.006038,0.014223,-0.002204,0.030868,-0.025599,0.142309,0
150,3830943650,0.999817,0.006356,0.017951,-0.001781,0.030569,-0.007821,0.175356,0
151,3830960317,0.999966,0.003699,0.007313,0.000458,0.022240,-0.003474,0.191240,0
152,3830976984,0.999998,0.000289,-0.001227,0.001720,0.016117,-0.011075,0.170254,0
153,3830993651,0.999999,0.000337,0.001035,0.000725,0.015788,-0.016698,0.154436,0
154,3831010318,0.999984,0.002640,0.004932,-0.000299,0.018289,-0.016625,0.155728,0
155,3831026985,0.999982,0.003992,0.004334,-0.001158,0.022512,-0.014326,0.165623,0
156,3831043652,0.999988,0.004672,0.001409,-0.000887,0.026615,-0.008734,0.167211,0
157,3831060319,0.999988,0.004438,0.001942,0.000389,0.028142,-0.004590,0.166769,0
158,3831076986,0.999995,0.002421,0.000269,0.002108,0.016394,-0.005594,0.171805,0
159,3831093653,0.999991,0.001862,-0.003128,0.001985,0.005239,-0.006529,0.167859,0
160,3831110320,0.999992,0.002749,-0.003030,-0.000050,0.000201,-0.009107,0.165172,0
161,3831126987,0.999995,0.002339,-0.000348,-0.002307,0.012530,-0.006958,0.167914,0
162,3831143654,0.999997,0.000488,0.001147,-0.002006,0.026306,0.000542,0.169907,0
163,3831160321,0.999998,-0.001234,0.001522,0.000114,0.024024,-0.000474,0.165450,0
164,3831176988,0.999997,-0.001389,0.001679,0.000527,0.013916,-0.006759,0.158734,0
165,3831193655,0.999999,-0.000067,0.000945,-0.000688,0.011721,-0.007642,0.158593,0
166,3831210322,0.999998,0.001513,-0.001180,-0.000772,0.016498,-0.005677,0.160568,0
167,3831226989,0.999997,0.002109,-0.001576,-0.000043,0.022469,-0.004103,0.161523,0
168,3831243656,0.999998,0.001726,0.000286,0.000670,0.023032,-0.002489,0.163349,0
169,3831260323,0.999996,0.000652,0.002845,0.000689,0.021085,-0.000602,0.165247,0
170,3831276990,0.999992,-0.001036,0.003827,0.000967,0.021172,-0.002971,0.166129,0
171,3831293657,0.999994,-0.001858,0.002497,0.001197,0.016404,-0.007371,0.162240,0
172,3831310324,0.999997,-0.000376,0.001994,0.000978,0.013666,-0.009916,0.153030,0
173,3831326991,0.999980,0.002335,0.005836,0.000267,0.015785,-0.007606,0.150040,0
