sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2021.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2022-03-25_11:11:52_726 EDT
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
64,3588490017,0.999999,0.000647,0.001003,0.000233,-0.011487,-0.004424,0.166060,0
65,3588506684,1.000000,0.000576,0.000696,0.000103,-0.011882,-0.004378,0.166588,0
66,3588523351,1.000000,0.000647,0.000306,0.000097,-0.011801,-0.003349,0.166963,0
67,3588540018,1.000000,0.000596,-0.000095,0.000389,-0.009387,-0.004404,0.164149,0
68,3588556685,1.000000,-0.000177,-0.000576,-0.000055,-0.008200,-0.008012,0.162081,0
69,3588573352,1.000000,-0.000275,-0.000586,-0.000659,-0.009735,-0.007545,0.161854,0
70,3588590019,1.000000,0.000771,-0.000145,-0.000566,-0.011238,-0.005833,0.162413,0
71,3588606686,0.999998,0.002139,0.000362,-0.000224,-0.010939,-0.004371,0.163943,0
72,3588623353,0.999995,0.003142,0.000315,0.000120,-0.009592,-0.003749,0.164569,0
73,3588640020,0.999994,0.003561,-0.000008,-0.000109,-0.010399,-0.002033,0.165296,0
74,3588656687,0.999990,0.004388,-0.000226,0.000032,-0.012310,0.001945,0.166711,0
75,3588673354,0.999987,0.004927,-0.000749,0.000456,-0.009875,0.006011,0.165126,0
76,3588690021,0.999987,0.004860,-0.001224,0.000470,-0.008940,0.009393,0.164436,0
77,3588706688,0.999980,0.006098,-0.001201,0.001213,-0.009920,0.011337,0.164271,0
78,3588723355,0.999965,0.008005,-0.000866,0.002334,-0.008496,0.008061,0.161700,0
79,3588740022,0.999951,0.009604,-0.000664,0.002390,-0.006208,0.001007,0.160401,0
80,3588756689,0.999949,0.009941,-0.000555,0.001474,-0.005532,0.005089,0.155949,0
81,3588773356,0.999954,0.009589,0.000060,0.000913,-0.007544,0.008932,0.152900,0
82,3588790023,0.999952,0.009665,0.001320,0.000207,-0.005023,0.010818,0.150809,0
83,3588806690,0.999950,0.009607,0.002583,-0.000712,-0.005580,0.023772,0.160675,0
84,3588823357,0.999947,0.010079,0.002026,-0.000135,-0.015006,0.036966,0.173961,0
85,3588840024,0.999920,0.012475,0.000089,0.001954,-0.017580,0.032602,0.181749,0
86,3588856691,0.999874,0.015485,-0.001854,0.003031,-0.013213,0.022357,0.171676,0
87,3588873358,0.999865,0.016023,-0.002963,0.002099,-0.008166,0.014503,0.150926,0
88,3588890025,0.999884,0.015144,-0.001609,-0.000648,-0.002814,0.011784,0.135553,0
89,3588906692,0.999857,0.016341,0.002051,-0.003882,-0.003857,0.034504,0.138204,0
90,3588923359,0.999838,0.017290,0.003124,-0.004032,-0.005813,0.068708,0.156825,0
91,3588940026,0.999881,0.015421,-0.000616,0.000273,-0.018306,0.058924,0.162345,0
92,3588956693,0.999771,0.021007,-0.002545,0.003245,-0.018008,0.102410,0.176505,0
93,3588973360,0.999657,0.025189,-0.005565,0.004426,-0.015697,0.046719,0.145394,0
94,3588990027,0.999732,0.022534,-0.005278,0.000806,0.004723,0.033354,0.112187,0
95,3589006694,0.999812,0.018265,-0.001379,-0.006314,0.010121,0.062824,0.108985,0
96,3589023361,0.999852,0.015479,0.000978,-0.007421,-0.009617,0.110457,0.122267,0
97,3589040028,0.999921,0.011917,0.000804,-0.003966,-0.011471,0.130713,0.132002,0
98,3589056695,0.999960,0.008878,0.000194,-0.001276,-0.009622,0.125003,0.134390,0
99,3589073362,0.999976,0.006922,-0.000228,0.000215,-0.009367,0.102278,0.131577,0
100,3589090029,0.999986,0.005204,0.000290,-0.000763,-0.004884,0.086074,0.126344,0
101,3589106696,0.999989,0.003413,0.000441,-0.003251,-0.002947,0.086390,0.132920,0
102,3589123363,0.999988,0.002854,-0.000602,-0.003981,-0.009940,0.107151,0.135272,0
103,3589140030,0.999995,0.001244,-0.001054,-0.002738,-0.008431,0.122509,0.130607,0
104,3589156697,0.999996,-0.001782,-0.001132,-0.001857,-0.006469,0.128299,0.127500,0
105,3589173364,0.999987,-0.005086,-0.000491,-0.000579,-0.009872,0.126886,0.125476,0
106,3589190031,0.999959,-0.009009,0.000057,0.000261,-0.009274,0.106665,0.124145,0
107,3589206698,0.999925,-0.012166,0.000284,-0.001479,-0.003926,0.081782,0.126962,0
108,3589223365,0.999887,-0.014441,0.000347,-0.004154,-0.006277,0.084976,0.131507,0
109,3589240032,0.999838,-0.017339,-0.000002,-0.004748,-0.008778,0.099388,0.134782,0
110,3589256699,0.999764,-0.021272,-0.000325,-0.004354,-0.011177,0.108469,0.134918,0
111,3589273366,0.999683,-0.024992,0.000034,-0.003185,-0.013849,0.099708,0.137322,0
112,3589290033,0.999642,-0.026595,0.001338,-0.002582,-0.016671,0.078842,0.144019,0
113,3589306700,0.999618,-0.027408,0.001817,-0.002975,-0.015642,0.062909,0.154515,0
114,3589323367,0.999602,-0.027990,0.000786,-0.003569,-0.015205,0.053458,0.163443,0
115,3589340034,0.999610,-0.027679,-0.000702,-0.003550,-0.018794,0.045615,0.169159,0
116,3589356701,0.999613,-0.027490,-0.002277,-0.003502,-0.019832,0.042906,0.170176,0
117,3589373368,0.999631,-0.026832,-0.003503,-0.002571,-0.019202,0.042506,0.171337,0
118,3589390035,0.999649,-0.026026,-0.004841,-0.001044,-0.016188,0.033692,0.165332,0
119,3589406702,0.999677,-0.024964,-0.004834,-0.000084,-0.009990,0.018755,0.152713,0
120,3589423369,0.999716,-0.023649,-0.002827,0.000331,-0.007667,0.009775,0.145828,0
121,3589440036,0.999734,-0.023031,-0.001268,0.000604,-0.006067,0.009227,0.144573,0
122,3589456703,0.999746,-0.022533,-0.000550,0.000718,-0.003341,-0.002994,0.147114,0
123,3589473370,0.999747,-0.022479,-0.000602,0.000733,-0.007230,-0.020787,0.153714,0
124,3589490037,0.999716,-0.023806,-0.000514,0.000881,-0.010229,-0.008328,0.156649,0
125,3589506704,0.999644,-0.026592,-0.001616,0.001434,-0.011271,-0.017956,0.160227,0
126,3589523371,0.999581,-0.028699,-0.003583,0.000986,-0.010429,-0.036214,0.155466,0
127,3589540038,0.999590,-0.028176,-0.004981,-0.000750,-0.006856,-0.039906,0.145395,0
128,3589556705,0.999596,-0.028249,-0.003105,-0.000253,-0.002473,-0.065723,0.133280,0
129,3589573372,0.999558,-0.029599,-0.002728,0.000121,-0.002159,-0.064608,0.133978,0
130,3589590039,0.999594,-0.028414,-0.002079,0.000346,-0.005239,-0.073506,0.142012,0
131,3589606706,0.999629,-0.027087,-0.002544,0.000960,-0.007476,-0.083747,0.148070,0
132,3589623373,0.999719,-0.023322,-0.004162,0.000669,-0.007412,-0.105156,0.147426,0
133,3589640040,0.999753,-0.021328,-0.006250,-0.000172,-0.001776,-0.118349,0.132851,0
134,3589656707,0.999804,-0.018830,-0.006014,-0.001217,0.002290,-0.112956,0.114139,0
135,3589673374,0.999843,-0.017279,-0.003600,-0.001397,0.004696,-0.098441,0.104298,0
136,3589690041,0.999844,-0.017601,-0.001644,-0.000352,0.003479,-0.093507,0.107081,0
137,3589706708,0.999805,-0.019718,-0.001070,0.000303,0.003292,-0.102042,0.108559,0
138,3589723375,0.999763,-0.021734,-0.001106,-0.000091,0.006234,-0.120878,0.108440,0
139,3589740042,0.999790,-0.020371,-0.001573,-0.001699,0.006489,-0.142477,0.104069,0
140,3589756709,0.999877,-0.015499,-0.000596,-0.002277,0.007900,-0.150047,0.090732,0
141,3589773376,0.999956,-0.008991,0.001874,-0.002144,0.007058,-0.140622,0.090765,0
142,3589790043,0.999990,-0.003205,0.002891,-0.001026,0.005872,-0.128954,0.093646,0
143,3589806710,0.999997,0.000768,0.002416,0.000157,0.005154,-0.124059,0.096230,0
144,3589823377,0.999992,0.003479,0.001944,0.000993,0.002519,-0.128011,0.096982,0
145,3589840044,0.999983,0.005582,0.001115,0.001096,0.002692,-0.135550,0.095062,0
146,3589856711,0.999972,0.007465,0.000748,0.000326,0.005793,-0.142315,0.090607,0
147,3589873378,0.999929,0.011879,0.000775,-0.000264,0.002637,-0.144406,0.095726,0
148,3589890045,0.999791,0.020449,0.000425,0.000604,0.002105,-0.146446,0.097527,0
149,3589906712,0.999597,0.028307,0.001339,0.001405,0.004241,-0.139376,0.091103,0
150,3589923379,0.999466,0.032506,0.003083,0.001588,0.005754,-0.122237,0.096550,0
151,3589940046,0.999494,0.031534,0.003954,0.001469,0.004285,-0.095410,0.111859,0
152,3589956713,0.999597,0.028134,0.003056,0.002377,-0.002795,-0.081570,0.133398,0
153,3589973380,0.999660,0.025845,0.001224,0.003344,-0.003826,-0.090383,0.144645,0
154,3589990047,0.999676,0.025295,0.000018,0.002832,-0.002440,-0.097918,0.145681,0
155,3590006714,0.999664,0.025849,-0.000297,0.001931,-0.003482,-0.086480,0.140190,0
156,3590023381,0.999710,0.024036,0.000512,0.001569,-0.001105,-0.072111,0.142352,0
157,3590040048,0.999768,0.021530,0.000108,0.001155,-0.000872,-0.065762,0.146735,0
158,3590056715,0.999839,0.017937,-0.000134,0.000229,-0.000362,-0.055753,0.147861,0
159,3590073382,0.999896,0.014440,0.000193,-0.000076,-0.002822,-0.045042,0.154038,0
160,3590090049,0.999887,0.014988,-0.000192,0.000979,-0.006730,-0.044538,0.169229,0
161,3590106716,0.999809,0.019299,-0.001520,0.002647,-0.006761,-0.057540,0.166586,0
162,3590123383,0.999757,0.021884,-0.001851,0.001819,0.000203,-0.058606,0.147583,0
163,3590140050,0.999808,0.019606,-0.000346,-0.000448,0.003652,-0.031944,0.138709,0
164,3590156717,0.999902,0.013893,0.001204,-0.001243,0.000684,-0.010499,0.144469,0
165,3590173384,0.999956,0.009154,0.001429,-0.001082,-0.001098,-0.008274,0.157297,0
166,3590190051,0.999977,0.006406,0.001565,-0.001387,-0.002296,-0.006890,0.165413,0
167,3590206718,0.999987,0.004976,0.000904,-0.001082,-0.007367,0.000254,0.175493,0
168,3590223385,0.999988,0.004743,-0.000743,0.000672,-0.010841,-0.000605,0.176111,0
169,3590240052,0.999985,0.005125,-0.001254,0.001600,-0.006978,-0.014178,0.164754,0
170,3590256719,0.999991,0.004199,-0.000677,0.000471,-0.001326,-0.019813,0.154914,0
171,3590273386,0.999998,0.001618,-0.000149,-0.001225,0.001358,-0.015108,0.150520,0
172,3590290053,0.999997,-0.000022,0.000656,-0.002205,-0.000249,-0.007249,0.154463,0
173,3590306720,0.999998,-0.000553,0.001127,-0.001620,-0.002354,-0.000134,0.162326,0
174,3590323387,1.000000,-0.000068,0.000935,-0.000269,-0.003932,-0.000317,0.164300,0
175,3590340054,0.999999,0.000793,0.001022,0.000600,-0.003066,-0.004545,0.165534,0
176,3590356721,0.999998,0.001153,0.001026,0.000891,-0.003984,-0.005628,0.166008,0
177,3590373388,0.999999,0.000739,0.000599,0.000935,-0.003802,-0.008596,0.166675,0
178,3590390055,1.000000,0.000391,0.000249,0.000450,-0.002884,-0.016107,0.165280,0
